ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1571183547,CuZ7UY1S5Yj1ooAqr3,150.150.150.10,46177,8.8.8.8,53,udp,10896,-,crackowrld.blogspot.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"blogspot.l.googleusercontent.com,172.217.1.1","3599.000000,299.000000",F,dns,3655.940777,0,829237,SHR,-,-,0,CdCCC,0,0,8397,1064353,-
1571189339,ChKSGD1Ji7MdEvxYM7,150.150.150.10,46177,8.8.8.8,53,udp,32368,-,drive.google.com,-,-,-,-,0,NOERROR,F,F,F,T,0,2607:f8b0:400b:800::200e,231,F,dns,8129.468691,31,1879295,SF,-,-,0,CdCCCDC,1,59,19517,2425771,-
1571177506,C2JXO82LUxVIfJrsi8,150.150.150.10,46177,8.8.8.8,53,udp,58005,-,1drv.ms,-,-,-,-,0,NOERROR,F,F,F,T,0,13.107.42.12,177,F,dns,4753.823072,0,993230,SHR,-,-,0,CdCCC,0,0,9828,1268414,-
1571188022,ChKSGD1Ji7MdEvxYM7,150.150.150.10,46177,8.8.8.8,53,udp,18694,-,yahooemailcustomercarenumber.over-blog.com,-,-,-,-,0,NOERROR,F,F,F,T,0,195.20.13.151,299,F,dns,8129.468691,31,1879295,SF,-,-,0,CdCCCDC,1,59,19517,2425771,-
1571190374,ChKSGD1Ji7MdEvxYM7,150.150.150.10,46177,8.8.8.8,53,udp,51899,-,kbsw.000a.biz,-,-,-,-,0,NOERROR,F,F,F,T,0,11776.bodis.com,21599,F,dns,8129.468691,31,1879295,SF,-,-,0,CdCCCDC,1,59,19517,2425771,-
1571171186,C2D18hbPRxzX3KSE2,150.150.150.10,46177,8.8.8.8,53,udp,61523,-,www.tttuya.com.co,-,-,-,-,0,NOERROR,F,F,F,T,0,"tttuya.com.co,50.63.202.35","3599.000000,599.000000",F,dns,5717.84084,0,863221,SHR,-,-,0,CdCCC,0,0,9990,1142941,-
1571190613,ChKSGD1Ji7MdEvxYM7,150.150.150.10,46177,8.8.8.8,53,udp,44899,-,sites.google.com,-,-,-,-,0,NOERROR,F,F,F,T,0,2607:f8b0:400b:80f::200e,102,F,dns,8129.468691,31,1879295,SF,-,-,0,CdCCCDC,1,59,19517,2425771,-
1571178222,C2JXO82LUxVIfJrsi8,150.150.150.10,46177,8.8.8.8,53,udp,19264,-,www.munisanborja.gob.pe,-,-,-,-,0,NOERROR,F,F,F,T,0,190.119.241.135,7199,F,dns,4753.823072,0,993230,SHR,-,-,0,CdCCC,0,0,9828,1268414,-
1571186151,ChKSGD1Ji7MdEvxYM7,150.150.150.10,46177,8.8.8.8,53,udp,38754,-,shop-n.ru,-,-,-,-,0,NOERROR,F,F,F,T,0,5.101.152.180,599,F,dns,8129.468691,31,1879295,SF,-,-,0,CdCCCDC,1,59,19517,2425771,-
1571187652,ChKSGD1Ji7MdEvxYM7,150.150.150.10,46177,8.8.8.8,53,udp,50887,-,easyit.sharepoint.com,-,-,-,-,0,NOERROR,F,F,F,T,0,"prodnet10513-10482edgea0000.sharepointonline.com.akadns.net,prodnet10513-10482a0000.sharepointonline.com.akadns.net.spo-0004.spo-msedge.net,spo-0004.spo-msedge.net,13.107.136.9","3599.000000,29.000000,231.000000,231.000000",F,dns,8129.468691,31,1879295,SF,-,-,0,CdCCCDC,1,59,19517,2425771,-
