ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1570548564,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,4963,-,pc.koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3589,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548563,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,11544,-,koitera.net,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3592,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548562,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,26190,-,0903582.com,-,-,-,-,0,NOERROR,F,F,F,T,0,119.82.155.95,59,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548554,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,29842,-,pc.koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3599,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548568,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,10679,-,pc.koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3595,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548575,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,34030,-,koitera.net,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3576,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548567,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,14002,-,koitera.net,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3584,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548569,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,2158,-,0905704.com,-,-,-,-,0,NOERROR,F,F,F,T,0,119.82.155.103,59,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548568,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,37917,-,koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3599,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548565,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,58270,-,0904693.com,-,-,-,-,0,NOERROR,F,F,F,T,0,119.82.155.104,59,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548555,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,3234,-,0901360.com,-,-,-,-,0,NOERROR,F,F,F,T,0,119.82.155.97,59,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548553,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,16731,-,koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3599,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548560,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,26482,-,koitera.net,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3591,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548572,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,44950,-,koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3595,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548561,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,51683,-,koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3592,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548558,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,27085,-,pc.koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3599,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548572,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,33696,-,pc.koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3599,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548559,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,41593,-,0902471.com,-,-,-,-,0,NOERROR,F,F,F,T,0,119.82.155.96,59,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548564,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,22114,-,koitera.com,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3589,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
1570548557,Cg5jef2SERlMz5gfX4,150.150.150.10,58075,8.8.8.8,53,udp,36869,-,koitera.net,-,-,-,-,0,NOERROR,F,F,F,T,0,116.91.115.130,3599,F,dns,12591.75888,32,2867371,SF,-,-,0,CdCCCCD,1,60,30522,3721987,-
